CODES,BRANCH,KPI, ACTUAL (MONTH) , ACTUAL (YTD) , BUDGET (MONTH) , BUDGET (YTD) , % VARIANCE (MONTH) , % VARIANCE (YTD) ,MONTH
005,MOI AVENUE,FX INCOME," 13,740.00 "," 13,740.00 "," 87,000.00 "," 87,000.00 ",-84%,,JAN
005,MOI AVENUE,NEW ACCOUNTS, 57.00 , 57.00 , 68.00 , 68.00 ,-16%,,JAN
005,MOI AVENUE,NFI, 881.14 , 881.14 ," 2,829.74 "," 2,829.74 ",-69%,,JAN
005,MOI AVENUE,PBT, 372.10 , 372.10 , 922.75 , 922.75 ,-60%,,JAN
006,THIKA,NEW DEPOSITS," (4,182.94)"," (4,182.94)"," 22,421.81 "," 22,421.81 ",-119%,,JAN
006,THIKA,CUMULATIVE DEPOSITS,," 73,762.18 ",," 85,603.32 ",0%,,JAN
006,THIKA,GROSS LOAN BOOK, -   ," 197,379.22 ",," 168,444.85 ",0%,,JAN
006,THIKA,DISBURSEMENTS," 3,141.80 "," 3,141.80 "," 23,027.27 "," 23,027.27 ",-86%,,JAN
006,THIKA,TRADE FINANCE," 123,490.31 "," 123,490.31 "," 157,000.00 "," 157,000.00 ",-21%,,JAN
006,THIKA,FX INCOME," 24,968.00 "," 24,968.00 "," 34,000.00 "," 34,000.00 ",-27%,,JAN
006,THIKA,NEW ACCOUNTS, 52.00 , 52.00 , 66.00 , 66.00 ,-21%,,JAN
006,THIKA,NFI, 405.18 , 405.18 ," 1,078.17 "," 1,078.17 ",-62%,,JAN
006,THIKA,PBT, (433.55), (433.55), 394.18 , 394.18 ,-210%,,JAN
007,RUIRU,NEW DEPOSITS," 2,604.61 "," 2,604.61 "," 26,176.96 "," 26,176.96 ",-90%,,JAN
007,RUIRU,CUMULATIVE DEPOSITS,," 197,694.01 ",," 218,841.91 ",0%,,JAN
007,RUIRU,GROSS LOAN BOOK, -   ," 136,389.12 ",," 149,466.17 ",0%,,JAN
007,RUIRU,DISBURSEMENTS," 3,827.55 "," 3,827.55 "," 27,721.20 "," 27,721.20 ",-86%,,JAN
007,RUIRU,TRADE FINANCE," 42,000.00 "," 42,000.00 "," 260,000.00 "," 260,000.00 ",-84%,,JAN
007,RUIRU,FX INCOME," 1,480.00 "," 1,480.00 "," 18,000.00 "," 18,000.00 ",-92%,,JAN
007,RUIRU,NEW ACCOUNTS, 41.00 , 41.00 , 76.00 , 76.00 ,-46%,,JAN
007,RUIRU,NFI, 214.36 , 214.36 ," 1,226.64 "," 1,226.64 ",-83%,,JAN
007,RUIRU,PBT, (189.63), (189.63), (883.48), (883.48),79%,,JAN
008,KITENGELA,NEW DEPOSITS," 11,207.95 "," 11,207.95 "," 25,398.77 "," 25,398.77 ",-56%,,JAN
008,KITENGELA,CUMULATIVE DEPOSITS,," 345,803.53 ",," 357,991.26 ",0%,,JAN
008,KITENGELA,GROSS LOAN BOOK, -   ," 324,382.68 ",," 298,550.07 ",0%,,JAN
008,KITENGELA,DISBURSEMENTS," 5,265.54 "," 5,265.54 "," 26,748.47 "," 26,748.47 ",-80%,,JAN
008,KITENGELA,TRADE FINANCE," 116,500.00 "," 116,500.00 "," 186,000.00 "," 186,000.00 ",-37%,,JAN
008,KITENGELA,FX INCOME," 85,153.00 "," 85,153.00 "," 78,000.00 "," 78,000.00 ",9%,,JAN
008,KITENGELA,NEW ACCOUNTS, 72.00 , 72.00 , 98.00 , 98.00 ,-27%,,JAN
008,KITENGELA,NFI, 397.38 , 397.38 ," 1,153.66 "," 1,153.66 ",-66%,,JAN
008,KITENGELA,PBT," (1,562.84)"," (1,562.84)"," (2,500.78)"," (2,500.78)",38%,,JAN
009,KAYOLE,NEW DEPOSITS, (722.51), (722.51)," 22,176.96 "," 22,176.96 ",-103%,,JAN
009,KAYOLE,CUMULATIVE DEPOSITS,," 38,350.50 ",," 67,389.33 ",0%,,JAN
009,KAYOLE,GROSS LOAN BOOK, -   ," 214,413.34 ",," 209,228.27 ",0%,,JAN
009,KAYOLE,DISBURSEMENTS," 3,953.51 "," 3,953.51 "," 22,721.20 "," 22,721.20 ",-83%,,JAN
009,KAYOLE,TRADE FINANCE," 10,000.00 "," 10,000.00 "," 34,000.00 "," 34,000.00 ",-71%,,JAN
009,KAYOLE,FX INCOME," 7,781.00 "," 7,781.00 "," 2,000.00 "," 2,000.00 ",289%,,JAN
009,KAYOLE,NEW ACCOUNTS, 46.00 , 46.00 , 73.00 , 73.00 ,-37%,,JAN
009,KAYOLE,NFI, 224.56 , 224.56 , 851.18 , 851.18 ,-74%,,JAN
009,KAYOLE,PBT, (374.85), (374.85), 976.64 , 976.64 ,-138%,,JAN
010,ELDORET,NEW DEPOSITS," (8,343.98)"," (8,343.98)"," 27,376.96 "," 27,376.96 ",-130%,,JAN
010,ELDORET,CUMULATIVE DEPOSITS,," 214,661.27 ",," 202,120.05 ",0%,,JAN
010,ELDORET,GROSS LOAN BOOK, -   ," 145,871.82 ",," 140,382.51 ",0%,,JAN
010,ELDORET,DISBURSEMENTS," 6,729.81 "," 6,729.81 "," 29,221.20 "," 29,221.20 ",-77%,,JAN
010,ELDORET,TRADE FINANCE," 314,045.00 "," 314,045.00 "," 828,000.00 "," 828,000.00 ",-62%,,JAN
010,ELDORET,FX INCOME," 1,090.00 "," 1,090.00 "," 59,000.00 "," 59,000.00 ",-98%,,JAN
010,ELDORET,NEW ACCOUNTS, 80.00 , 80.00 , 91.00 , 91.00 ,-12%,,JAN
010,ELDORET,NFI, 686.26 , 686.26 ," 1,908.23 "," 1,908.23 ",-64%,,JAN
010,ELDORET,PBT, 264.77 , 264.77 , (927.03), (927.03),129%,,JAN
011,MBALE,NEW DEPOSITS," (10,594.47)"," (10,594.47)"," 14,955.15 "," 14,955.15 ",-171%,,JAN
011,MBALE,CUMULATIVE DEPOSITS,," 27,313.20 ",," 35,846.10 ",0%,,JAN
011,MBALE,GROSS LOAN BOOK, -   ," 69,687.86 ",," 70,244.36 ",0%,,JAN
011,MBALE,DISBURSEMENTS," 2,817.84 "," 2,817.84 "," 13,693.93 "," 13,693.93 ",-79%,,JAN
011,MBALE,TRADE FINANCE," 10,789.14 "," 10,789.14 "," 118,000.00 "," 118,000.00 ",-91%,,JAN
011,MBALE,FX INCOME, 790.00 , 790.00 ," 26,000.00 "," 26,000.00 ",-97%,,JAN
011,MBALE,NEW ACCOUNTS, 35.00 , 35.00 , 58.00 , 58.00 ,-40%,,JAN
011,MBALE,NFI, 173.12 , 173.12 , 638.00 , 638.00 ,-73%,,JAN
011,MBALE,PBT, (743.49), (743.49), (504.74), (504.74),-47%,,JAN
012,BIASHARA STREET,NEW DEPOSITS," 5,634.41 "," 5,634.41 "," 26,710.29 "," 26,710.29 ",-79%,,JAN
012,BIASHARA STREET,CUMULATIVE DEPOSITS,," 710,794.66 ",," 739,221.22 ",0%,,JAN
012,BIASHARA STREET,GROSS LOAN BOOK, -   ," 400,517.23 ",," 365,710.57 ",0%,,JAN
012,BIASHARA STREET,DISBURSEMENTS," 2,608.96 "," 2,608.96 "," 28,387.87 "," 28,387.87 ",-91%,,JAN
012,BIASHARA STREET,TRADE FINANCE," 2,186,520.26 "," 2,186,520.26 "," 5,552,000.00 "," 5,552,000.00 ",-61%,,JAN
012,BIASHARA STREET,FX INCOME," 719,837.00 "," 719,837.00 "," 153,000.00 "," 153,000.00 ",370%,,JAN
012,BIASHARA STREET,NEW ACCOUNTS, 37.00 , 37.00 , 98.00 , 98.00 ,-62%,,JAN
012,BIASHARA STREET,NFI," 2,454.46 "," 2,454.46 "," 6,540.88 "," 6,540.88 ",-62%,,JAN
012,BIASHARA STREET,PBT," 2,784.57 "," 2,784.57 "," (1,337.40)"," (1,337.40)",308%,,JAN
013,RONGAI,NEW DEPOSITS," 6,180.05 "," 6,180.05 "," 19,691.31 "," 19,691.31 ",-69%,,JAN
013,RONGAI,CUMULATIVE DEPOSITS,," 84,635.05 ",," 65,583.97 ",0%,,JAN
013,RONGAI,GROSS LOAN BOOK, -   ," 163,749.32 ",," 154,764.26 ",0%,,JAN
013,RONGAI,DISBURSEMENTS," 6,316.64 "," 6,316.64 "," 19,614.13 "," 19,614.13 ",-68%,,JAN
013,RONGAI,TRADE FINANCE," 58,000.00 "," 58,000.00 "," 91,000.00 "," 91,000.00 ",-36%,,JAN
013,RONGAI,FX INCOME, 932.00 , 932.00 ," 25,000.00 "," 25,000.00 ",-96%,,JAN
013,RONGAI,NEW ACCOUNTS, 52.00 , 52.00 , 68.00 , 68.00 ,-24%,,JAN
013,RONGAI,NFI, 273.31 , 273.31 , 855.46 , 855.46 ,-68%,,JAN
013,RONGAI,PBT," (1,769.56)"," (1,769.56)"," (1,290.29)"," (1,290.29)",-37%,,JAN
014,WESTLANDS,NEW DEPOSITS, 439.51 , 439.51 ," 23,066.67 "," 23,066.67 ",-98%,,JAN
014,WESTLANDS,CUMULATIVE DEPOSITS,," 251,577.28 ",," 248,499.82 ",0%,,JAN
014,WESTLANDS,GROSS LOAN BOOK, -   ," 230,645.70 ",," 230,035.77 ",0%,,JAN
014,WESTLANDS,DISBURSEMENTS," 6,975.20 "," 6,975.20 "," 23,833.33 "," 23,833.33 ",-71%,,JAN
014,WESTLANDS,TRADE FINANCE," 2,531,175.10 "," 2,531,175.10 "," 1,211,000.00 "," 1,211,000.00 ",109%,,JAN
014,WESTLANDS,FX INCOME, 870.00 , 870.00 ," 12,000.00 "," 12,000.00 ",-93%,,JAN
014,WESTLANDS,NEW ACCOUNTS, 38.00 , 38.00 , 65.00 , 65.00 ,-42%,,JAN
014,WESTLANDS,NFI," 2,803.44 "," 2,803.44 "," 1,999.36 "," 1,999.36 ",40%,,JAN
014,WESTLANDS,PBT," 1,752.50 "," 1,752.50 "," 1,018.18 "," 1,018.18 ",72%,,JAN
015,MACHAKOS,NEW DEPOSITS," 1,852.36 "," 1,852.36 "," 19,776.96 "," 19,776.96 ",-91%,,JAN
015,MACHAKOS,CUMULATIVE DEPOSITS,," 30,146.89 ",," 22,579.58 ",0%,,JAN
015,MACHAKOS,GROSS LOAN BOOK, -   ," 152,198.63 ",," 155,022.67 ",0%,,JAN
015,MACHAKOS,DISBURSEMENTS, 735.30 , 735.30 ," 19,721.20 "," 19,721.20 ",-96%,,JAN
015,MACHAKOS,TRADE FINANCE," 22,240.00 "," 22,240.00 "," 58,000.00 "," 58,000.00 ",-62%,,JAN
015,MACHAKOS,FX INCOME, 946.00 , 946.00 ," 2,000.00 "," 2,000.00 ",-53%,,JAN
015,MACHAKOS,NEW ACCOUNTS, 41.00 , 41.00 , 61.00 , 61.00 ,-33%,,JAN
015,MACHAKOS,NFI, 109.05 , 109.05 , 740.62 , 740.62 ,-85%,,JAN
015,MACHAKOS,PBT, (900.98), (900.98), (106.99), (106.99),-742%,,JAN
016,NAKURU,NEW DEPOSITS," 6,083.17 "," 6,083.17 "," 22,421.81 "," 22,421.81 ",-73%,,JAN
016,NAKURU,CUMULATIVE DEPOSITS,," 162,974.90 ",," 182,618.99 ",0%,,JAN
016,NAKURU,GROSS LOAN BOOK, -   ," 176,396.81 ",," 166,335.97 ",0%,,JAN
016,NAKURU,DISBURSEMENTS," 7,389.52 "," 7,389.52 "," 23,027.27 "," 23,027.27 ",-68%,,JAN
016,NAKURU,TRADE FINANCE," 285,739.00 "," 285,739.00 "," 498,000.00 "," 498,000.00 ",-43%,,JAN
016,NAKURU,FX INCOME," 159,543.00 "," 159,543.00 "," 289,000.00 "," 289,000.00 ",-45%,,JAN
016,NAKURU,NEW ACCOUNTS, 66.00 , 66.00 , 56.00 , 56.00 ,18%,,JAN
016,NAKURU,NFI, 617.26 , 617.26 ," 1,357.49 "," 1,357.49 ",-55%,,JAN
016,NAKURU,PBT," 2,227.08 "," 2,227.08 "," 2,021.04 "," 2,021.04 ",10%,,JAN
017,KENGELENI,NEW DEPOSITS," (23,362.69)"," (23,362.69)"," 18,288.48 "," 18,288.48 ",-228%,,JAN
017,KENGELENI,CUMULATIVE DEPOSITS,," 58,486.93 ",," 73,546.06 ",0%,,JAN
017,KENGELENI,GROSS LOAN BOOK, -   ," 147,134.07 ",," 150,156.84 ",0%,,JAN
017,KENGELENI,DISBURSEMENTS," 2,320.28 "," 2,320.28 "," 17,860.60 "," 17,860.60 ",-87%,,JAN
017,KENGELENI,TRADE FINANCE," 143,948.09 "," 143,948.09 "," 164,000.00 "," 164,000.00 ",-12%,,JAN
017,KENGELENI,FX INCOME, -   , -   ," 2,000.00 "," 2,000.00 ",-100%,,JAN
017,KENGELENI,NEW ACCOUNTS, 21.00 , 21.00 , 48.00 , 48.00 ,-56%,,JAN
017,KENGELENI,NFI, 323.09 , 323.09 , 813.67 , 813.67 ,-60%,,JAN
017,KENGELENI,PBT," (1,105.82)"," (1,105.82)", (713.98), (713.98),-55%,,JAN
018,KISUMU,NEW DEPOSITS," (1,406.47)"," (1,406.47)"," 23,643.63 "," 23,643.63 ",-106%,,JAN
018,KISUMU,CUMULATIVE DEPOSITS,," 31,098.91 ",," 37,323.35 ",0%,,JAN
018,KISUMU,GROSS LOAN BOOK, -   ," 168,679.27 ",," 159,128.78 ",0%,,JAN
018,KISUMU,DISBURSEMENTS," 4,088.80 "," 4,088.80 "," 24,554.53 "," 24,554.53 ",-83%,,JAN
018,KISUMU,TRADE FINANCE," 117,391.00 "," 117,391.00 "," 280,000.00 "," 280,000.00 ",-58%,,JAN
018,KISUMU,FX INCOME," 24,470.00 "," 24,470.00 "," 7,000.00 "," 7,000.00 ",250%,,JAN
018,KISUMU,NEW ACCOUNTS, 76.00 , 76.00 , 108.00 , 108.00 ,-30%,,JAN
018,KISUMU,NFI, 360.12 , 360.12 ," 1,148.26 "," 1,148.26 ",-69%,,JAN
018,KISUMU,PBT, (547.09), (547.09), 314.43 , 314.43 ,-274%,,JAN
019,DIASPORAH,NEW DEPOSITS, 0.98 , 0.98 , -   , -   ,0%,,JAN
019,DIASPORAH,CUMULATIVE DEPOSITS,, 616.17 ,, 674.44 ,0%,,JAN
019,DIASPORAH,GROSS LOAN BOOK, -   , -   ,, -   ,0%,,JAN
019,DIASPORAH,DISBURSEMENTS, -   , -   , -   , -   ,0%,,JAN
019,DIASPORAH,TRADE FINANCE, -   , -   , -   , -   ,0%,,JAN
019,DIASPORAH,FX INCOME, -   , -   , -   , -   ,0%,,JAN
019,DIASPORAH,NEW ACCOUNTS, -   , -   , -   , -   ,0%,,JAN
019,DIASPORAH,NFI, -   , -   , 0.74 , 0.74 ,-100%,,JAN
019,DIASPORAH,PBT, 5.93 , 5.93 , (1.55), (1.55),482%,,JAN
020,MTWAPA,NEW DEPOSITS," 11,885.61 "," 11,885.61 "," 30,401.60 "," 30,401.60 ",-61%,,JAN
020,MTWAPA,CUMULATIVE DEPOSITS,," 230,343.87 ",," 217,537.34 ",0%,,JAN
020,MTWAPA,GROSS LOAN BOOK, -   ," 157,135.00 ",," 136,665.91 ",0%,,JAN
020,MTWAPA,DISBURSEMENTS, 613.54 , 613.54 ," 33,002.00 "," 33,002.00 ",-98%,,JAN
020,MTWAPA,TRADE FINANCE, -   , -   ," 63,000.00 "," 63,000.00 ",-100%,,JAN
020,MTWAPA,FX INCOME," 34,966.00 "," 34,966.00 "," 99,000.00 "," 99,000.00 ",-65%,,JAN
020,MTWAPA,NEW ACCOUNTS, 172.00 , 172.00 , 178.00 , 178.00 ,-3%,,JAN
020,MTWAPA,NFI, 183.09 , 183.09 ," 1,181.15 "," 1,181.15 ",-84%,,JAN
020,MTWAPA,PBT," (1,126.77)"," (1,126.77)"," (2,104.78)"," (2,104.78)",46%,,JAN
000,CENTRAL OFFICE,NEW DEPOSITS, -   , -   , -   , -   ,0%,,FEB
000,CENTRAL OFFICE,CUMULATIVE DEPOSITS,, -   ,, -   ,0%,,FEB
000,CENTRAL OFFICE,GROSS LOAN BOOK, -   , 518.89 ,, -   ,0%,,FEB
000,CENTRAL OFFICE,DISBURSEMENTS, -   , -   , -   , -   ,0%,,FEB
000,CENTRAL OFFICE,TRADE FINANCE, -   , -   , -   , -   ,0%,,FEB
000,CENTRAL OFFICE,FX INCOME," 210,000.00 "," 209,870.00 "," 33,000.00 "," 66,000.00 ",536%,,FEB
000,CENTRAL OFFICE,NEW ACCOUNTS, -   , -   , -   , -   ,0%,,FEB
000,CENTRAL OFFICE,NFI, (0.00), 164.03 , 0.04 , 0.08 ,-102%,,FEB
000,CENTRAL OFFICE,PBT," (22,536.01)"," (63,375.93)"," (22,536.01)"," (61,585.70)",0%,,FEB
001,TOM MBOYA,NEW DEPOSITS," 2,668.85 "," 7,554.34 "," 19,355.15 "," 38,710.29 ",-86%,,FEB
001,TOM MBOYA,CUMULATIVE DEPOSITS,," 486,177.91 ",," 477,097.90 ",0%,,FEB
001,TOM MBOYA,GROSS LOAN BOOK, -   ," 642,078.66 ",," 543,731.57 ",0%,,FEB
001,TOM MBOYA,DISBURSEMENTS," 9,980.62 "," 20,555.21 "," 19,193.93 "," 38,387.87 ",-48%,,FEB
001,TOM MBOYA,TRADE FINANCE," 1,690,919.00 "," 2,450,613.00 "," 1,350,000.00 "," 2,700,000.00 ",25%,,FEB
001,TOM MBOYA,FX INCOME," 98,175.00 "," 104,100.00 "," 2,000.00 "," 4,000.00 ",4809%,,FEB
001,TOM MBOYA,NEW ACCOUNTS, 76.00 , 134.00 , 85.00 , 170.00 ,-11%,,FEB
001,TOM MBOYA,NFI," 2,004.05 "," 2,984.48 "," 2,095.78 "," 4,184.33 ",-4%,,FEB
001,TOM MBOYA,PBT, (855.57)," (2,624.31)", (855.77)," (2,024.67)",0%,,FEB
002,LIKONI,NEW DEPOSITS," (2,236.97)"," (24,020.75)"," 19,755.15 "," 39,510.29 ",-111%,,FEB
002,LIKONI,CUMULATIVE DEPOSITS,," 49,112.29 ",," 58,704.70 ",0%,,FEB
002,LIKONI,GROSS LOAN BOOK, -   ," 89,561.20 ",," 112,445.29 ",0%,,FEB
002,LIKONI,DISBURSEMENTS," 2,489.15 "," 3,632.55 "," 19,693.93 "," 39,387.87 ",-87%,,FEB
002,LIKONI,TRADE FINANCE," 11,000.00 "," 19,000.00 "," 30,000.00 "," 60,000.00 ",-63%,,FEB
002,LIKONI,FX INCOME," 33,903.00 "," 33,903.00 "," 73,000.00 "," 146,000.00 ",-54%,,FEB
002,LIKONI,NEW ACCOUNTS, 75.00 , 140.00 , 73.00 , 146.00 ,3%,,FEB
002,LIKONI,NFI, 172.05 , 295.86 , 757.80 ," 1,513.19 ",-77%,,FEB
002,LIKONI,PBT," (1,081.31)"," (2,236.79)"," (1,081.31)"," (2,133.25)",0%,,FEB
003,WOTE,NEW DEPOSITS," 3,782.61 "," 6,289.19 "," 17,110.29 "," 34,220.59 ",-78%,,FEB
003,WOTE,CUMULATIVE DEPOSITS,," 46,574.06 ",," 36,343.06 ",0%,,FEB
003,WOTE,GROSS LOAN BOOK, -   ," 103,868.99 ",," 123,446.32 ",0%,,FEB
003,WOTE,DISBURSEMENTS," 1,232.30 "," 3,916.36 "," 16,387.87 "," 32,775.73 ",-92%,,FEB
003,WOTE,TRADE FINANCE," 9,000.00 "," 15,000.00 "," 12,000.00 "," 24,000.00 ",-25%,,FEB
003,WOTE,FX INCOME, -   , -   ," 1,000.00 "," 2,000.00 ",-100%,,FEB
003,WOTE,NEW ACCOUNTS, 19.00 , 55.00 , 66.00 , 132.00 ,-71%,,FEB
003,WOTE,NFI, 100.36 , 183.68 , 672.08 ," 1,342.47 ",-85%,,FEB
003,WOTE,PBT, (804.51)," (1,560.62)", (793.85)," (1,112.09)",-1%,,FEB
004,LIMURU,NEW DEPOSITS, 840.78 ," 1,424.40 "," 24,332.11 "," 48,664.21 ",-97%,,FEB
004,LIMURU,CUMULATIVE DEPOSITS,," 24,304.12 ",," 43,353.97 ",0%,,FEB
004,LIMURU,GROSS LOAN BOOK, -   ," 109,936.47 ",," 154,755.37 ",0%,,FEB
004,LIMURU,DISBURSEMENTS," 2,604.57 "," 3,668.67 "," 25,415.13 "," 50,830.27 ",-90%,,FEB
004,LIMURU,TRADE FINANCE," 7,000.00 "," 19,000.00 "," 87,000.00 "," 174,000.00 ",-92%,,FEB
004,LIMURU,FX INCOME, -   , -   ," 1,000.00 "," 2,000.00 ",-100%,,FEB
004,LIMURU,NEW ACCOUNTS, 17.00 , 38.00 , 101.00 , 202.00 ,-83%,,FEB
004,LIMURU,NFI, 138.44 , 225.39 , 896.67 ," 1,791.01 ",-85%,,FEB
004,LIMURU,PBT, (270.24)," 1,859.00 ", (282.26)," 2,292.25 ",4%,,FEB
005,MOI AVENUE,NEW DEPOSITS," 9,348.12 "," 13,185.80 "," 33,221.81 "," 66,443.63 ",-72%,,FEB
005,MOI AVENUE,CUMULATIVE DEPOSITS,," 155,499.39 ",," 188,228.37 ",0%,,FEB
005,MOI AVENUE,GROSS LOAN BOOK, -   ," 339,401.45 ",," 357,161.59 ",0%,,FEB
005,MOI AVENUE,DISBURSEMENTS," 4,744.79 "," 10,166.61 "," 36,527.27 "," 73,054.53 ",-87%,,FEB
005,MOI AVENUE,TRADE FINANCE," 1,154,416.13 "," 1,686,543.97 "," 1,521,000.00 "," 3,042,000.00 ",-24%,,FEB
005,MOI AVENUE,FX INCOME," 32,573.00 "," 46,313.00 "," 87,000.00 "," 174,000.00 ",-63%,,FEB
005,MOI AVENUE,NEW ACCOUNTS, 61.00 , 118.00 , 68.00 , 136.00 ,-10%,,FEB
005,MOI AVENUE,NFI," 1,390.62 "," 2,271.76 "," 2,827.87 "," 5,657.61 ",-51%,,FEB
005,MOI AVENUE,PBT, 89.39 , 461.49 , 102.79 ," 1,025.55 ",-13%,,FEB
006,THIKA,NEW DEPOSITS," (3,856.50)"," (8,039.45)"," 22,421.81 "," 44,843.63 ",-117%,,FEB
006,THIKA,CUMULATIVE DEPOSITS,," 69,905.68 ",," 87,315.39 ",0%,,FEB
006,THIKA,GROSS LOAN BOOK, -   ," 181,574.05 ",," 184,330.84 ",0%,,FEB
